observed_datetime,node,price
2023-07-16 00:00:00+00:00,node_0,71.69727432126041
2023-07-16 00:00:00+00:00,node_1,80.60609426197706
2023-07-16 00:00:00+00:00,node_2,16.520676742312357
2023-07-16 00:00:00+00:00,node_3,26.23770050272234
2023-07-16 00:00:00+00:00,node_4,59.274925888828164
2023-07-16 00:00:00+00:00,node_5,33.26925078994368
2023-07-16 00:00:00+00:00,node_6,57.98755501347652
2023-07-16 00:00:00+00:00,node_7,13.3443028041072
2023-07-16 00:00:00+00:00,node_8,47.5802551249196
2023-07-16 00:00:00+00:00,node_9,94.42936266062335
2023-07-16 00:00:00+00:00,node_10,75.89618475464984
2023-07-16 00:00:00+00:00,node_11,31.6641189747342
2023-07-16 00:00:00+00:00,node_12,28.802092184906392
2023-07-16 00:00:00+00:00,node_13,63.95131502005722
2023-07-16 00:00:00+00:00,node_14,68.47574551679111
2023-07-16 00:00:00+00:00,node_15,53.12603258336286
2023-07-16 00:00:00+00:00,node_16,70.04922845946328
2023-07-16 00:00:00+00:00,node_17,26.224907587007785
2023-07-16 00:00:00+00:00,node_18,4.529695170904491
2023-07-16 00:00:00+00:00,node_19,79.6562052089337
2023-07-16 00:00:00+00:00,node_20,10.398103189652474
2023-07-16 00:00:00+00:00,node_21,66.25532317044825
2023-07-16 00:00:00+00:00,node_22,20.303868129413594
2023-07-16 00:00:00+00:00,node_23,13.489091819077126
2023-07-16 00:00:00+00:00,node_24,62.017404988208746
2023-07-16 00:00:00+00:00,node_25,76.20477443539208
2023-07-16 00:00:00+00:00,node_26,76.85685680409803
2023-07-16 00:00:00+00:00,node_27,16.146369644962
2023-07-16 00:00:00+00:00,node_28,34.19827060108992
2023-07-16 00:00:00+00:00,node_29,0.13677656621416956
2023-07-16 00:00:00+00:00,node_30,34.50256171270063
2023-07-16 00:00:00+00:00,node_31,11.096991585265304
2023-07-16 00:00:00+00:00,node_32,85.50947745742842
2023-07-16 00:00:00+00:00,node_33,14.544543699124501
2023-07-16 00:00:00+00:00,node_34,24.49564122196253
2023-07-16 00:00:00+00:00,node_35,50.58817575433131
2023-07-16 00:00:00+00:00,node_36,17.679598130619723
2023-07-16 00:00:00+00:00,node_37,12.005434267226189
2023-07-16 00:00:00+00:00,node_38,16.2437435982807
2023-07-16 00:00:00+00:00,node_39,9.162190104662926
2023-07-16 00:00:00+00:00,node_40,77.0370923290424
2023-07-16 00:00:00+00:00,node_41,92.8308581367269
2023-07-16 00:00:00+00:00,node_42,47.2154402980235
2023-07-16 00:00:00+00:00,node_43,38.99463234809869
2023-07-16 00:00:00+00:00,node_44,92.89898960434546
2023-07-16 00:00:00+00:00,node_45,62.73350556344066
2023-07-16 00:00:00+00:00,node_46,89.46996301152674
2023-07-16 00:00:00+00:00,node_47,67.44627668243446
2023-07-16 00:00:00+00:00,node_48,21.436765708973848
2023-07-16 00:00:00+00:00,node_49,5.596646566813812
2023-07-16 00:00:00+00:00,node_50,39.257967012743144
2023-07-16 00:00:00+00:00,node_51,55.39364849586558
2023-07-16 00:00:00+00:00,node_52,6.770902146058145
2023-07-16 00:00:00+00:00,node_53,2.3511580853202374
2023-07-16 00:00:00+00:00,node_54,76.38979619043371
2023-07-16 00:00:00+00:00,node_55,38.7283233360617
2023-07-16 00:00:00+00:00,node_56,59.74443937605103
2023-07-16 00:00:00+00:00,node_57,18.290467208310947
2023-07-16 00:00:00+00:00,node_58,93.62411531355055
2023-07-16 00:00:00+00:00,node_59,62.63748440885236
